Fagkategorinavn,Fagomraadenavn,Opplaeringsfagnavn,2022-23,2023-24,2024-25
Estetiske fag,"Andre fag - musikk, dans og drama",Bevegelse,766,746,795
Estetiske fag,"Andre fag - musikk, dans og drama","Musikk, dans og drama",2008,2011,2020
Estetiske fag,Dansefag,Dans i perspektiv 1,314,306,313
Estetiske fag,Dansefag,Dans i perspektiv 2,311,296,300
Estetiske fag,Dansefag,Danseteknikker,356,359,382
Estetiske fag,Dansefag,Grunntrening i dans 1,313,305,313
Estetiske fag,Dansefag,Grunntrening i dans 2,311,295,301
Estetiske fag,Dansefag,Scenisk dans 1,313,305,313
Estetiske fag,Dansefag,Scenisk dans 2,311,296,300
Estetiske fag,Dansefag,Scenisk dans 3,311,296,300
Estetiske fag,Dansefag,Scenisk dans fordypning 1,308,308,312
Estetiske fag,Dansefag,Scenisk dans fordypning 2,271,262,279
Estetiske fag,Dramafag,Drama og samfunn,406,382,358
Estetiske fag,Dramafag,Teater i perspektiv 1,368,376,373
Estetiske fag,Dramafag,Teater i perspektiv 2,383,354,358
Estetiske fag,Dramafag,Teater og bevegelse 1,370,374,372
Estetiske fag,Dramafag,Teater og bevegelse 2,384,354,355
Estetiske fag,Dramafag,Teaterensemble,596,638,700
Estetiske fag,Dramafag,Teaterproduksjon 1,399,430,420
Estetiske fag,Dramafag,Teaterproduksjon 2,384,355,360
Estetiske fag,Dramafag,Teaterproduksjon fordypning 1,374,391,404
Estetiske fag,Dramafag,Teaterproduksjon fordypning 2,28,18,
Estetiske fag,Dramafag,Teaterproduksjon fordypning 2,281,290,301
Estetiske fag,Kunst- og h�ndverksfag,Arkitektur og samfunn,142,134,240
Estetiske fag,Kunst- og h�ndverksfag,Design og arkitektur 1,1336,1289,1238
Estetiske fag,Kunst- og h�ndverksfag,Design og arkitektur 2,978,1157,1096
Estetiske fag,Kunst- og h�ndverksfag,Design og arkitektur 3,22,,
Estetiske fag,Kunst- og h�ndverksfag,Design og arkitektur 3,875,957,1089
Estetiske fag,Kunst- og h�ndverksfag,Design og b�rekraft,330,279,196
Estetiske fag,Kunst- og h�ndverksfag,Foto og grafikk 1,596,733,713
Estetiske fag,Kunst- og h�ndverksfag,Foto og grafikk 2,145,151,145
Estetiske fag,Kunst- og h�ndverksfag,Kunst og skapende arbeid,500,477,521
Estetiske fag,Kunst- og h�ndverksfag,Kunst og visuelle virkemidler 1,5,,
Estetiske fag,Kunst- og h�ndverksfag,Kunst og visuelle virkemidler 1,1428,1443,1339
Estetiske fag,Kunst- og h�ndverksfag,Kunst og visuelle virkemidler 2,1021,1176,1108
Estetiske fag,Kunst- og h�ndverksfag,Kunst og visuelle virkemidler 3,22,,
Estetiske fag,Kunst- og h�ndverksfag,Kunst og visuelle virkemidler 3,877,956,1089
Estetiske fag,Musikkfag,Ergonomi og bevegelse 1,1124,1113,1158
Estetiske fag,Musikkfag,Ergonomi og bevegelse 2,1140,1085,1077
Estetiske fag,Musikkfag,Instruksjon og ledelse,1147,1077,1080
Estetiske fag,Musikkfag,"Instrument, kor, samspill 1",1152,1150,1183
Estetiske fag,Musikkfag,"Instrument, kor, samspill 2",1168,1126,1097
Estetiske fag,Musikkfag,Lytting,1236,1239,1256
Estetiske fag,Musikkfag,Musikk,1264,1291,1307
Estetiske fag,Musikkfag,Musikk fordypning 1,1003,1008,1023
Estetiske fag,Musikkfag,Musikk fordypning 2,695,582,644
Estetiske fag,Musikkfag,Musikk i perspektiv 1,1128,1130,1159
Estetiske fag,Musikkfag,Musikk i perspektiv 2,1168,1069,1085
Historie og samfunn,Geografi,Geografi vg1,33660,34451,34468
Historie og samfunn,Geografi,"Geografi vg1, samisk plan",25,11,16
Historie og samfunn,Historie,Historie og filosofi 1,2239,1974,2084
Historie og samfunn,Historie,Historie og filosofi 2,1196,1228,1115
Historie og samfunn,Historie,Historie vg2 studieforberedende utdanningsprogram,32 583,32 589,32 677
Historie og samfunn,Historie,Historie vg3 p�bygging til generell studiekompetanse,10714,10796,11191
Historie og samfunn,Historie,Historie vg3 studieforberedende utdanningsprogram,32946,32680,32608
Historie og samfunn,Historie,"Historie vg3,studieforberedende utdanningsprogram",269,13,
Historie og samfunn,Historie,"Historie, samisk plan, vg2 studieforberedende utdanningsprogram",22,22,10
Historie og samfunn,Historie,"Historie, samisk plan, vg3 p�bygging til generell studiekompetanse",14,17,42
Historie og samfunn,Historie,"Historie, samisk plan, vg3 studieforberedende utdanningsprogram",34,23,23
Historie og samfunn,Historie,"Historie, vg3 p�bygging til generell studiekompetanse",168,3,
Historie og samfunn,Historie,Samisk historie og samfunn 1,5,15,20
Historie og samfunn,Historie,Samisk historie og samfunn 2,16,4,12
Historie og samfunn,Mediefag,Bilde,1118,1157,1104
Historie og samfunn,Mediefag,Grafisk design,805,711,780
Historie og samfunn,Mediefag,Lyddesign,326,415,331
Historie og samfunn,Mediefag,Medie- og informasjonskunnskap 1,1017,1019,1002
Historie og samfunn,Mediefag,Medie- og informasjonskunnskap 2,571,569,554
Historie og samfunn,Mediefag,Mediesamfunnet 1,1679,1526,1516
Historie og samfunn,Mediefag,Mediesamfunnet 2,1299,1490,1320
