friluftslivsaktivitet;1 000 personer 2024 31 Østfold;1 000 personer 2024 32 Akershus;1 000 personer 2024 03 Oslo;1 000 personer 2024 34 Innlandet;1 000 personer 2024 33 Buskerud;1 000 personer 2024 39 Vestfold;1 000 personer 2024 40 Telemark;1 000 personer 2024 42 Agder;1 000 personer 2024 11 Rogaland;1 000 personer 2024 46 Vestland;1 000 personer 2024 15 Møre og Romsdal;1 000 personer 2024 50 Trøndelag - Trööndelage;1 000 personer 2024 18 Nordland - Nordlánnda;1 000 personer 2024 55 Troms - Romsa - Tromssa
Gåtur i parker eller naturomgivelser i nærheten av bolig;230;527;552;283;196;188;128;230;365;494;195;364;178;129
Fottur i fjell,skog eller mark, i alt;176;418;429;223;164;144;102;187;310;436;168;309;160;115
Sykkeltur;68;159;151;80;65;59;32;64;99;101;43;85;40;42
Skitur i fjell,skog eller mark, i alt;57;211;255;117;78;56;46;74;85;158;72;167;71;63
Stått på alpinski, snowboard,randonee, eller lignende;43;132;156;49;44;33;27;47;77;124;53;89;38;34
Fisket;83;185;143;120;75;64;57;98;157;258;89;185;110;67
Båttur, i alt;115;259;261;110;93;105;61;130;208;288;99;174;102;70
Gått på skøyter utendørs;35;87;87;40;25;21;14;28;44;53;18;48;26;11
Ridetur på hest;6;25;23;17;9;10;2;4;14;16;3;17;6;7
Badet utendørs;174;406;447;210;159;151;92;196;275;371;123;270;121;86
Jakt;17;36;23;30;16;8;13;14;21;40;23;43;27;13
Bær- eller sopptur;118;285;236;177;116;84;63;113;147;237;99;222;119;78
Klatret utendørs;14;33;38;13;10;15;7;11;15;30;15;25;11;9
Overnattet ute i naturen;65;143;148;89;56;49;40;72;85;135;46;112;54;52
Deltatt i organiserte friluftslivsaktiviteter;24;41;32;27;21;21;15;21;24;61;19;18;19;10
